code,name,year,indicator,value
002594,比亚迪,2021,ROE,3.73
002594,比亚迪,2021,净利润率,1.84
002594,比亚迪,2021,资产负债率,64.76
002594,比亚迪,2021,营业收入增速,38.02
002594,比亚迪,2022,ROE,16.14
002594,比亚迪,2022,净利润率,4.18
002594,比亚迪,2022,资产负债率,75.42
002594,比亚迪,2022,营业收入增速,96.2
002594,比亚迪,2023,ROE,24.4
002594,比亚迪,2023,净利润率,5.2
002594,比亚迪,2023,资产负债率,77.86
002594,比亚迪,2023,营业收入增速,42.04
002594,比亚迪,2024,ROE,26.05
002594,比亚迪,2024,净利润率,5.35
002594,比亚迪,2024,资产负债率,74.64
002594,比亚迪,2024,营业收入增速,29.02
002594,比亚迪,2025,ROE,15.31
002594,比亚迪,2025,净利润率,4.2
002594,比亚迪,2025,资产负债率,70.74
002594,比亚迪,2025,营业收入增速,3.46
601633,长城汽车,2021,ROE,11.26
601633,长城汽车,2021,净利润率,4.93
601633,长城汽车,2021,资产负债率,64.58
601633,长城汽车,2021,营业收入增速,32.04
601633,长城汽车,2022,ROE,12.66
601633,长城汽车,2022,净利润率,6.01
601633,长城汽车,2022,资产负债率,64.82
601633,长城汽车,2022,营业收入增速,0.69
601633,长城汽车,2023,ROE,10.61
601633,长城汽车,2023,净利润率,4.05
601633,长城汽车,2023,资产负债率,65.96
601633,长城汽车,2023,营业收入增速,26.12
601633,长城汽车,2024,ROE,17.2
601633,长城汽车,2024,净利润率,6.28
601633,长城汽车,2024,资产负债率,63.64
601633,长城汽车,2024,营业收入增速,16.73
601633,长城汽车,2025,ROE,11.76
601633,长城汽车,2025,净利润率,4.43
601633,长城汽车,2025,资产负债率,60.99
601633,长城汽车,2025,营业收入增速,10.2
600519,贵州茅台,2021,ROE,29.9
600519,贵州茅台,2021,净利润率,52.47
600519,贵州茅台,2021,资产负债率,22.81
600519,贵州茅台,2021,营业收入增速,11.71
600519,贵州茅台,2022,ROE,30.26
600519,贵州茅台,2022,净利润率,52.68
600519,贵州茅台,2022,资产负债率,19.42
600519,贵州茅台,2022,营业收入增速,16.53
600519,贵州茅台,2023,ROE,34.19
600519,贵州茅台,2023,净利润率,52.49
600519,贵州茅台,2023,资产负债率,17.98
600519,贵州茅台,2023,营业收入增速,18.04
600519,贵州茅台,2024,ROE,36.02
600519,贵州茅台,2024,净利润率,52.27
600519,贵州茅台,2024,资产负债率,19.04
600519,贵州茅台,2024,营业收入增速,15.66
600519,贵州茅台,2025,ROE,32.53
600519,贵州茅台,2025,净利润率,50.53
600519,贵州茅台,2025,资产负债率,16.42
600519,贵州茅台,2025,营业收入增速,-1.2
000858,五粮液,2021,ROE,25.3
000858,五粮液,2021,净利润率,37.02
000858,五粮液,2021,资产负债率,25.24
000858,五粮液,2021,营业收入增速,15.51
000858,五粮液,2022,ROE,25.28
000858,五粮液,2022,净利润率,37.81
000858,五粮液,2022,资产负债率,23.59
000858,五粮液,2022,营业收入增速,11.72
000858,五粮液,2023,ROE,25.06
000858,五粮液,2023,净利润率,37.85
000858,五粮液,2023,资产负债率,20.0
000858,五粮液,2023,营业收入增速,12.58
000858,五粮液,2024,ROE,23.35
000858,五粮液,2024,净利润率,37.22
000858,五粮液,2024,资产负债率,27.55
000858,五粮液,2024,营业收入增速,7.09
000858,五粮液,2025,ROE,6.89
000858,五粮液,2025,净利润率,22.99
000858,五粮液,2025,资产负债率,35.69
000858,五粮液,2025,营业收入增速,-54.55
601857,中国石油,2021,ROE,7.4
601857,中国石油,2021,净利润率,4.39
601857,中国石油,2021,资产负债率,43.69
601857,中国石油,2021,营业收入增速,35.19
601857,中国石油,2022,ROE,11.3
601857,中国石油,2022,净利润率,5.06
601857,中国石油,2022,资产负债率,42.47
601857,中国石油,2022,营业收入增速,23.9
601857,中国石油,2023,ROE,11.4
601857,中国石油,2023,净利润率,5.99
601857,中国石油,2023,资产负债率,40.76
601857,中国石油,2023,营业收入增速,-7.04
601857,中国石油,2024,ROE,11.1
601857,中国石油,2024,净利润率,6.25
601857,中国石油,2024,资产负债率,37.89
601857,中国石油,2024,营业收入增速,-2.48
601857,中国石油,2025,ROE,10.1
601857,中国石油,2025,净利润率,6.0
601857,中国石油,2025,资产负债率,36.37
601857,中国石油,2025,营业收入增速,-2.5
601088,中国神华,2021,ROE,13.64
601088,中国神华,2021,净利润率,17.71
601088,中国神华,2021,资产负债率,26.58
601088,中国神华,2021,营业收入增速,43.71
601088,中国神华,2022,ROE,18.07
601088,中国神华,2022,净利润率,23.7
601088,中国神华,2022,资产负债率,26.13
601088,中国神华,2022,营业收入增速,2.65
601088,中国神华,2023,ROE,14.88
601088,中国神华,2023,净利润率,20.29
601088,中国神华,2023,资产负债率,24.08
601088,中国神华,2023,营业收入增速,-0.42
601088,中国神华,2024,ROE,14.04
601088,中国神华,2024,净利润率,20.35
601088,中国神华,2024,资产负债率,23.42
601088,中国神华,2024,营业收入增速,-1.37
601088,中国神华,2025,ROE,12.76
601088,中国神华,2025,净利润率,21.29
601088,中国神华,2025,资产负债率,23.31
601088,中国神华,2025,营业收入增速,-13.21
600941,中国移动,2021,ROE,10.11
600941,中国移动,2021,净利润率,13.69
600941,中国移动,2021,资产负债率,34.94
600941,中国移动,2021,营业收入增速,10.44
600941,中国移动,2022,ROE,10.08
600941,中国移动,2022,净利润率,13.4
600941,中国移动,2022,资产负债率,33.37
600941,中国移动,2022,营业收入增速,10.49
600941,中国移动,2023,ROE,10.23
600941,中国移动,2023,净利润率,13.07
600941,中国移动,2023,资产负债率,33.04
600941,中国移动,2023,营业收入增速,7.69
600941,中国移动,2024,ROE,10.36
600941,中国移动,2024,净利润率,13.31
600941,中国移动,2024,资产负债率,34.33
600941,中国移动,2024,营业收入增速,3.12
600941,中国移动,2025,ROE,9.94
600941,中国移动,2025,净利润率,13.07
600941,中国移动,2025,资产负债率,33.22
600941,中国移动,2025,营业收入增速,0.91
000063,中兴通讯,2021,ROE,14.49
000063,中兴通讯,2021,净利润率,6.14
000063,中兴通讯,2021,资产负债率,68.42
000063,中兴通讯,2021,营业收入增速,12.88
000063,中兴通讯,2022,ROE,14.66
000063,中兴通讯,2022,净利润率,6.34
000063,中兴通讯,2022,资产负债率,67.09
000063,中兴通讯,2022,营业收入增速,7.36
000063,中兴通讯,2023,ROE,15.19
000063,中兴通讯,2023,净利润率,7.44
000063,中兴通讯,2023,资产负债率,66.0
000063,中兴通讯,2023,营业收入增速,1.05
000063,中兴通讯,2024,ROE,11.97
000063,中兴通讯,2024,净利润率,6.89
000063,中兴通讯,2024,资产负债率,64.74
000063,中兴通讯,2024,营业收入增速,-2.38
000063,中兴通讯,2025,ROE,7.58
000063,中兴通讯,2025,净利润率,4.16
000063,中兴通讯,2025,资产负债率,65.26
000063,中兴通讯,2025,营业收入增速,10.38
002352,顺丰控股,2021,ROE,6.81
002352,顺丰控股,2021,净利润率,1.89
002352,顺丰控股,2021,资产负债率,53.35
002352,顺丰控股,2021,营业收入增速,34.55
002352,顺丰控股,2022,ROE,7.34
002352,顺丰控股,2022,净利润率,2.62
002352,顺丰控股,2022,资产负债率,54.67
002352,顺丰控股,2022,营业收入增速,29.11
002352,顺丰控股,2023,ROE,9.19
002352,顺丰控股,2023,净利润率,3.06
002352,顺丰控股,2023,资产负债率,53.37
002352,顺丰控股,2023,营业收入增速,-3.39
002352,顺丰控股,2024,ROE,11.16
002352,顺丰控股,2024,净利润率,3.59
002352,顺丰控股,2024,资产负债率,52.14
002352,顺丰控股,2024,营业收入增速,10.07
002352,顺丰控股,2025,ROE,11.51
002352,顺丰控股,2025,净利润率,3.79
002352,顺丰控股,2025,资产负债率,49.03
002352,顺丰控股,2025,营业收入增速,8.37
600233,圆通速递,2021,ROE,11.72
600233,圆通速递,2021,净利润率,4.84
600233,圆通速递,2021,资产负债率,32.62
600233,圆通速递,2021,营业收入增速,29.36
600233,圆通速递,2022,ROE,15.91
600233,圆通速递,2022,净利润率,7.4
600233,圆通速递,2022,资产负债率,30.73
600233,圆通速递,2022,营业收入增速,18.57
600233,圆通速递,2023,ROE,13.37
600233,圆通速递,2023,净利润率,6.5
600233,圆通速递,2023,资产负债率,32.33
600233,圆通速递,2023,营业收入增速,7.74
600233,圆通速递,2024,ROE,13.27
600233,圆通速递,2024,净利润率,5.78
600233,圆通速递,2024,资产负债率,33.31
600233,圆通速递,2024,营业收入增速,19.67
600233,圆通速递,2025,ROE,13.0
600233,圆通速递,2025,净利润率,5.67
600233,圆通速递,2025,资产负债率,34.86
600233,圆通速递,2025,营业收入增速,9.05
