date,indicator,value
2020-01-17,工业增加值同比增速,6.9
2020-03-16,工业增加值同比增速,-13.5
2020-04-17,工业增加值同比增速,-1.1
2020-05-15,工业增加值同比增速,3.9
2020-06-15,工业增加值同比增速,4.4
2020-07-16,工业增加值同比增速,4.8
2020-08-14,工业增加值同比增速,4.8
2020-09-15,工业增加值同比增速,5.6
2020-10-19,工业增加值同比增速,6.9
2020-12-15,工业增加值同比增速,7.0
2021-01-18,工业增加值同比增速,7.3
2021-03-15,工业增加值同比增速,35.1
2021-04-16,工业增加值同比增速,14.1
2021-05-17,工业增加值同比增速,9.8
2021-06-16,工业增加值同比增速,8.8
2021-07-15,工业增加值同比增速,8.3
2021-08-16,工业增加值同比增速,6.4
2021-09-15,工业增加值同比增速,5.3
2021-10-18,工业增加值同比增速,3.1
2021-11-15,工业增加值同比增速,3.5
2021-12-15,工业增加值同比增速,3.8
2022-01-17,工业增加值同比增速,4.3
2022-03-15,工业增加值同比增速,7.5
2022-04-18,工业增加值同比增速,5.0
2022-05-16,工业增加值同比增速,-2.9
2022-06-15,工业增加值同比增速,0.7
2022-07-15,工业增加值同比增速,3.9
2022-08-15,工业增加值同比增速,3.8
2022-09-16,工业增加值同比增速,4.2
2022-10-24,工业增加值同比增速,6.3
2022-11-15,工业增加值同比增速,5.0
2022-12-15,工业增加值同比增速,2.2
2023-01-17,工业增加值同比增速,1.3
2023-03-15,工业增加值同比增速,2.4
2023-04-18,工业增加值同比增速,3.9
2023-05-16,工业增加值同比增速,5.6
2023-06-15,工业增加值同比增速,3.5
2023-07-17,工业增加值同比增速,4.4
2023-08-15,工业增加值同比增速,3.7
2023-09-15,工业增加值同比增速,4.5
2023-10-18,工业增加值同比增速,4.5
2023-11-15,工业增加值同比增速,4.6
2023-12-15,工业增加值同比增速,6.6
2024-01-17,工业增加值同比增速,6.8
2024-03-18,工业增加值同比增速,7.0
2024-04-16,工业增加值同比增速,4.5
2024-05-17,工业增加值同比增速,6.7
2024-06-17,工业增加值同比增速,5.6
2024-07-15,工业增加值同比增速,5.3
2024-08-15,工业增加值同比增速,5.1
2024-09-14,工业增加值同比增速,4.5
2024-10-18,工业增加值同比增速,5.4
2024-11-15,工业增加值同比增速,5.3
2024-12-16,工业增加值同比增速,5.4
2025-01-17,工业增加值同比增速,6.2
2025-03-17,工业增加值同比增速,5.9
2025-04-16,工业增加值同比增速,7.7
2025-05-19,工业增加值同比增速,6.1
2025-06-16,工业增加值同比增速,5.8
2025-07-15,工业增加值同比增速,6.8
2025-08-15,工业增加值同比增速,5.7
