date,indicator,value
2020-01-20,LPR1Y,4.15
2020-02-20,LPR1Y,4.05
2020-03-20,LPR1Y,4.05
2020-04-20,LPR1Y,3.85
2020-05-20,LPR1Y,3.85
2020-06-22,LPR1Y,3.85
2020-07-20,LPR1Y,3.85
2020-08-20,LPR1Y,3.85
2020-09-21,LPR1Y,3.85
2020-10-20,LPR1Y,3.85
2020-11-20,LPR1Y,3.85
2020-12-21,LPR1Y,3.85
2021-01-20,LPR1Y,3.85
2021-02-20,LPR1Y,3.85
2021-03-22,LPR1Y,3.85
2021-04-20,LPR1Y,3.85
2021-05-20,LPR1Y,3.85
2021-06-21,LPR1Y,3.85
2021-07-20,LPR1Y,3.85
2021-08-20,LPR1Y,3.85
2021-09-22,LPR1Y,3.85
2021-10-20,LPR1Y,3.85
2021-11-22,LPR1Y,3.85
2021-12-20,LPR1Y,3.8
2022-01-20,LPR1Y,3.7
2022-02-21,LPR1Y,3.7
2022-03-21,LPR1Y,3.7
2022-04-20,LPR1Y,3.7
2022-05-20,LPR1Y,3.7
2022-06-20,LPR1Y,3.7
2022-07-20,LPR1Y,3.7
2022-08-22,LPR1Y,3.65
2022-09-20,LPR1Y,3.65
2022-10-20,LPR1Y,3.65
2022-11-21,LPR1Y,3.65
2022-12-20,LPR1Y,3.65
2023-01-20,LPR1Y,3.65
2023-02-20,LPR1Y,3.65
2023-03-20,LPR1Y,3.65
2023-04-20,LPR1Y,3.65
2023-05-22,LPR1Y,3.65
2023-06-20,LPR1Y,3.55
2023-07-20,LPR1Y,3.55
2023-08-21,LPR1Y,3.45
2023-09-20,LPR1Y,3.45
2023-10-20,LPR1Y,3.45
2023-11-20,LPR1Y,3.45
2023-12-20,LPR1Y,3.45
2024-01-22,LPR1Y,3.45
2024-02-20,LPR1Y,3.45
2024-03-20,LPR1Y,3.45
2024-04-22,LPR1Y,3.45
2024-05-20,LPR1Y,3.45
2024-06-20,LPR1Y,3.45
2024-07-22,LPR1Y,3.35
2024-08-20,LPR1Y,3.35
2024-09-20,LPR1Y,3.35
2024-10-21,LPR1Y,3.1
2024-11-20,LPR1Y,3.1
2024-12-20,LPR1Y,3.1
2025-01-20,LPR1Y,3.1
2025-02-20,LPR1Y,3.1
2025-03-20,LPR1Y,3.1
2025-04-21,LPR1Y,3.1
2025-05-20,LPR1Y,3.0
2025-06-20,LPR1Y,3.0
2025-07-21,LPR1Y,3.0
2025-08-20,LPR1Y,3.0
2025-09-22,LPR1Y,3.0
2025-10-20,LPR1Y,3.0
2025-11-20,LPR1Y,3.0
2025-12-22,LPR1Y,3.0
2026-01-20,LPR1Y,3.0
2026-02-24,LPR1Y,3.0
2026-03-20,LPR1Y,3.0
2026-04-20,LPR1Y,3.0
2026-05-20,LPR1Y,3.0
